,Unnamed: 0,classement,ville,idx_cout_vie,idx_loyer,idx_cout_vie_loyer,idx_courses,idx_prix_restaurants,idx_pouvoir_achat_local,Pays
18,18,19,London,"64,35","37,59","51,56","56,23","72,99","112,25",Canada
19,19,20,Mississauga,"64,07","42,61","53,81","54,69","54,74","107,28",Canada
20,20,21,Kitchener,"63,58","34,04","49,46","61,99","62,92","137,45",Canada
21,21,22,Kelowna,"63,34","36,86","50,68","62,23","57,76","104,11",Canada
22,22,23,Kingston,"62,92","34,86","49,51","58,52","58,31","106,21",Canada
23,23,24,Brampton,"62,76","34,91","49,45","55,25","58,90","120,36",Canada
24,24,25,Regina,"61,29","21,61","42,33","58,23","58,01","148,74",Canada
25,25,26,Windsor,"60,54","29,56","45,73","53,18","60,40","110,17",Canada
0,0,1,Suzhou,"58,54","27,12","43,52","69,44","39,55","28,92",Chine
1,1,2,Shanghai,"47,14","36,30","41,96","47,98","36,34","60,91",Chine
2,2,3,Pékin,"46,72","35,60","41,40","44,46","33,46","62,07",Chine
3,3,4,Shenzhen,"43,75","22,31","33,51","45,86","29,88","82,31",Chine
4,4,5,Hangzhou,"40,85","15,31","28,65","46,88","29,55","62,69",Chine
5,5,6,Canton (Guangzhou),"38,14","16,45","27,77","37,78","27,64","75,92",Chine
6,6,7,Chengdu,"37,80","11,55","25,25","39,52","25,13","56,00",Chine
7,7,8,Nankin,"35,65","14,09","25,34","37,92","21,54","73,28",Chine
8,8,9,"Qingdao, Shandong","32,41","8,84","21,14","35,22","21,99","77,19",Chine
0,0,1,Larnaca,"62,11","24,60","44,18","49,23","62,09","50,41",Chypre
1,1,2,Limassol,"59,23","39,77","49,93","45,94","61,18","54,03",Chypre
2,2,3,Nicosie,"54,34","18,72","37,31","44,20","54,19","65,57",Chypre
3,3,4,Paphos,"48,54","20,48","35,13","38,16","48,24","59,44",Chypre
0,0,1,Medellin,"24,11","8,10","16,46","22,13","18,24","35,00",Colombie
1,1,2,Carthagène des Indes,"23,94","11,58","18,03","21,02","17,69","30,83",Colombie
2,2,3,Bogota,"23,65","9,04","16,67","22,17","17,46","29,39",Colombie
3,3,4,Cali,"22,61","5,17","14,28","20,17","16,88","40,12",Colombie
4,4,5,Barranquilla,"22,59","6,08","14,70","20,52","16,66","32,90",Colombie
5,5,6,Bucaramanga,"18,89","4,44","11,98","15,38","13,27","31,88",Colombie
0,0,1,Zadar,"51,75","13,65","33,54","43,62","49,71","39,78",Croatie
1,1,2,Dubrovnik,"50,41","12,06","32,08","36,91","52,67","47,52",Croatie
2,2,3,Zagreb,"49,67","15,44","33,31","41,19","44,50","57,45",Croatie
3,3,4,Rijeka,"44,74","12,41","29,29","38,60","41,05","52,94",Croatie
4,4,5,Split,"44,31","12,91","29,31","38,27","40,39","57,70",Croatie
5,5,6,Osijek,"40,45","8,73","25,29","34,07","30,21","55,51",Croatie
0,0,1,Odense,"82,85","26,32","55,83","71,14","101,12","90,04",Danemark
1,1,2,Copenhague,"80,28","44,92","63,38","61,46","97,15","98,72",Danemark
2,2,3,Arhus,"78,61","30,42","55,58","60,02","92,16","103,31",Danemark
3,3,4,Aalborg,"75,00","20,65","49,03","61,89","84,91","119,34",Danemark
0,0,1,Le Caire,"22,95","5,24","14,49","19,32","19,78","22,52",Egypte
1,1,2,Alexandrie,"19,81","3,74","12,13","17,15","19,05","20,36",Egypte
2,2,3,Gizeh,"19,22","2,84","11,39","17,00","14,65","23,93",Egypte
0,0,1,Dubai,"64,81","46,51","56,06","46,52","73,59","129,40",Emirats Arabes Unis
1,1,2,Abou Dabi,"55,18","43,06","49,39","42,87","55,87","116,96",Emirats Arabes Unis
2,2,3,Charjah,"46,49","77,90","61,50","36,30","33,63","42,68",Emirats Arabes Unis
3,3,4,Ajman,"43,64","15,45","30,17","33,62","33,32","113,23",Emirats Arabes Unis
0,0,1,Guayaquil,"37,81","11,22","25,10","31,37","29,84","41,17",Équateur
1,1,2,Cuenca,"37,77","11,14","25,04","35,03","28,86","32,23",Équateur
2,2,3,Quito,"35,60","10,43","23,57","31,56","31,21","34,40",Équateur
0,0,1,Barcelona,"57,22","29,49","43,96","43,63","60,07","74,37",Espagne
1,1,2,Bilbao,"55,65","25,82","41,39","48,49","53,78","81,02",Espagne
2,2,3,Madrid,"53,27","28,98","41,66","41,96","53,04","86,84",Espagne
3,3,4,Palma de Majorque,"52,89","24,24","39,20","40,13","53,68","70,25",Espagne
4,4,5,Valence,"50,07","22,27","36,78","43,67","49,83","72,54",Espagne
5,5,6,Pampelune,"49,95","20,85","36,04","44,25","50,04","122,49",Espagne
6,6,7,Oviedo,"49,17","14,11","32,41","41,66","47,08","107,10",Espagne
7,7,8,Alicante,"48,93","18,45","34,36","38,45","50,38","72,53",Espagne
8,8,9,Séville (Séville),"48,68","17,20","33,64","42,93","43,15","80,20",Espagne
9,9,10,Grenade,"48,60","16,59","33,30","40,39","47,56","95,01",Espagne
10,10,11,Malaga,"48,06","21,60","35,42","37,93","45,67","87,05",Espagne
11,11,12,Las Palmas de Gran Canaria,"46,09","20,27","33,75","40,14","39,90","61,22",Espagne
12,12,13,Santa Cruz de Ténérife,"45,54","18,29","32,52","38,66","43,34","72,30",Espagne
13,13,14,Murcie,"45,39","23,59","34,97","34,31","46,15","65,16",Espagne
14,14,15,Zaragoza (Saragosse),"44,32","17,52","31,51","36,40","42,20","89,98",Espagne
15,15,16,Vigo,"43,41","16,03","30,33","34,77","43,51","77,47",Espagne
0,0,1,"Santa Barbara, Californie","110,95","92,44","102,10","116,39","115,45","72,30",États Unis
1,1,2,"Honolulu, Hawaii","101,43","61,61","82,40","110,44","81,22","84,48",États Unis
2,2,3,"New York, New York","100,00","100,00","100,00","100,00","100,00","100,00",États Unis
3,3,4,"San Francisco, Californie","98,45","91,90","95,32","97,42","97,44","105,87",États Unis
4,4,5,"Seattle, Washington","91,78","67,84","80,34","87,16","95,16","129,30",États Unis
5,5,6,"Oakland, Californie","89,53","74,84","82,51","89,82","81,25","90,32",États Unis
6,6,7,"Anchorage, Alaska","87,07","40,70","64,91","89,55","78,24","105,37",États Unis
7,7,8,"Boston, Massachusetts","84,07","75,27","79,87","81,20","88,05","112,83",États Unis
8,8,9,"Sacramento, Californie","83,76","52,23","68,69","87,35","72,57","116,49",États Unis
9,9,10,"Washington, District de Colombie","83,10","71,29","77,45","80,85","82,60","127,39",États Unis
10,10,11,"San Jose, Californie","82,68","73,47","78,28","77,65","82,10","141,18",États Unis
11,11,12,"San Diego, Californie","81,99","75,82","79,04","75,80","83,74","120,39",États Unis
12,12,13,"Nashville, Tennessee","81,17","59,23","70,68","83,51","72,96","112,48",États Unis
13,13,14,"Miami, Floride","81,16","71,55","76,56","78,78","88,72","91,58",États Unis
14,14,15,"Denver, Colorado","80,77","54,95","68,43","77,55","73,71","140,71",États Unis
15,15,16,"Irvine, Californie","80,64","72,32","76,66","73,86","89,04","133,83",États Unis
16,16,17,"Portland, Oregon","79,82","50,63","65,87","78,62","72,91","120,75",États Unis
17,17,18,"La Nouvelle-Orléans, Louisiane","79,60","44,83","62,98","77,66","79,39","97,53",États Unis
18,18,19,"Raleigh, Caroline du Nord","79,17","59,26","69,66","72,11","80,55","112,07",États Unis
19,19,20,"Philadelphie, Pennsylvanie","78,42","48,93","64,33","77,68","76,98","132,19",États Unis
20,20,21,"Chicago, Illinois","78,32","58,11","68,66","74,06","82,37","124,87",États Unis
21,21,22,"Los Angeles, Californie","78,07","74,25","76,24","74,02","86,91","118,37",États Unis
22,22,23,"Buffalo, New York","77,37","35,26","57,24","77,98","69,76","117,04",États Unis
23,23,24,"Pittsburgh, Pennsylvanie","76,94","38,03","58,34","82,85","63,47","120,84",États Unis
24,24,25,"Charlotte, Caroline du Nord","76,74","58,94","68,23","74,22","74,71","119,43",États Unis
25,25,26,"Cleveland, Ohio","76,49","38,90","58,52","78,64","67,30","137,51",États Unis
26,26,27,"Dallas, Texas","76,29","52,65","64,99","74,61","77,80","139,37",États Unis
27,27,28,"Baltimore, Maryland","75,59","48,02","62,41","77,73","66,77","138,25",États Unis
28,28,29,"Tampa, Floride","75,25","58,87","67,42","69,48","77,05","130,32",États Unis
29,29,30,"Long Beach, Californie","75,14","59,68","67,75","76,19","80,56","124,75",États Unis
30,30,31,"Omaha, Nebraska","75,04","30,11","53,57","68,20","78,18","119,69",États Unis
31,31,32,"Indianapolis, Indiana","74,46","37,23","56,67","73,66","73,81","136,05",États Unis
32,32,33,"Birmingham, Alabama","74,20","37,39","56,61","77,59","67,07","88,06",États Unis
33,33,34,"Fort Worth, Texas","74,18","42,74","59,16","76,86","62,82","128,83",États Unis
34,34,35,"Minneapolis, Minnesota","74,05","47,57","61,39","71,22","76,66","136,15",États Unis
35,35,36,"Austin, Texas","73,36","66,24","69,95","69,60","78,86","128,84",États Unis
36,36,37,"Phoenix, Arizona","73,20","48,40","61,35","68,40","77,00","143,01",États Unis
37,37,38,"Chattanooga, Tennessee","72,99","37,70","56,12","68,42","70,61","127,20",États Unis
38,38,39,"Atlanta, Géorgie","72,94","50,87","62,39","68,46","66,77","128,16",États Unis
39,39,40,"Columbus, Ohio","72,24","41,72","57,65","65,98","66,98","127,39",États Unis
40,40,41,"Fort Lauderdale, Floride","72,10","62,69","67,60","68,37","81,36","124,53",États Unis
41,41,42,"Detroit, Michigan","72,09","37,08","55,36","69,02","64,26","120,68",États Unis
42,42,43,"Spokane, Washington","71,89","40,72","56,99","66,70","74,87","115,89",États Unis
43,43,44,"Las Vegas, Nevada","71,88","40,16","56,72","63,62","72,16","120,58",États Unis
44,44,45,"Reno, Nevada","71,80","44,83","58,91","70,86","73,42","77,55",États Unis
45,45,46,Orlando Floride,"71,42","50,88","61,60","68,22","76,05","139,80",États Unis
46,46,47,"Colorado Springs, Colorado","71,30","38,16","55,46","66,41","77,91","136,37",États Unis
47,47,48,"Fresno, Californie","71,21","44,52","58,45","64,23","67,54","122,59",États Unis
48,48,49,"Madison, Wisconsin","71,12","43,69","58,01","68,88","68,86","99,32",États Unis
49,49,50,"Milwaukee, Wisconsin","70,49","37,25","54,60","61,43","67,50","155,79",États Unis
50,50,51,"Oklahoma City, Oklahoma","69,94","37,68","54,52","71,15","54,75","95,33",États Unis
51,51,52,"Boise, Idaho","69,43","44,35","57,44","63,44","67,86","113,54",États Unis
52,52,53,"Albuquerque, Nouveau-Mexique","69,36","42,56","56,55","66,49","67,96","157,29",États Unis
53,53,54,"Houston, Texas","69,16","44,44","57,35","62,38","73,20","148,73",États Unis
54,54,55,"Jacksonville, Floride","69,02","37,81","54,10","74,40","66,22","149,27",États Unis
55,55,56,"Kansas City, Missouri","68,08","40,50","54,90","61,79","72,23","123,65",États Unis
56,56,57,"Tucson, Arizona","67,55","33,53","51,29","68,00","64,39","134,77",États Unis
57,57,58,"Saint Louis, Missouri","67,07","34,12","51,32","66,84","64,20","104,21",États Unis
58,58,59,"San Antonio, Texas","66,81","41,40","54,67","58,94","69,84","142,99",États Unis
59,59,60,"Louisville, Kentucky","65,78","30,96","49,14","65,10","63,98","154,08",États Unis
60,60,61,"Salt Lake City, Utah","65,10","44,97","55,48","61,98","71,42","134,84",États Unis
61,61,62,"Memphis, Tennessee","64,34","35,57","50,59","64,34","66,00","169,98",États Unis
62,62,63,"Cincinnati, Ohio","63,67","39,78","52,25","62,78","60,54","117,93",États Unis
63,63,64,"Knoxville, Tennessee","60,02","33,74","47,46","56,36","57,35","146,98",États Unis
0,0,1,Espoo,"75,34","30,27","53,80","66,96","85,26","95,46",Finlande
1,1,2,Turku,"68,41","19,79","45,17","58,02","77,55","100,32",Finlande
2,2,3,Oulu,"68,38","19,81","45,17","59,43","65,84","96,23",Finlande
3,3,4,Helsinki,"67,16","30,52","49,65","56,83","73,27","105,22",Finlande
4,4,5,Tampere,"62,08","21,09","42,49","50,89","70,44","104,01",Finlande
0,0,1,Nice,"75,05","27,68","52,41","68,17","81,11","79,61",France
1,1,2,Paris,"74,29","42,79","59,24","71,63","69,08","77,59",France
2,2,3,Lyon,"72,36","23,33","48,92","68,21","66,39","94,19",France
3,3,4,Toulouse,"67,14","21,78","45,46","64,16","67,28","103,81",France
4,4,5,Grenoble,"65,86","18,66","43,30","63,36","59,34","91,63",France
5,5,6,Nantes,"65,00","22,79","44,83","61,98","61,97","87,72",France
6,6,7,Marseille,"64,03","21,31","43,61","61,94","61,51","98,33",France
7,7,8,Lille,"60,88","22,46","42,52","53,09","59,92","106,94",France
0,0,1,Athènes,"58,20","15,92","38,00","44,71","54,13","43,16",Grèce
1,1,2,Thessalonique,"54,66","12,47","34,50","41,70","51,39","41,71",Grèce
2,2,3,Héraklion,"52,13","12,20","33,04","39,74","42,44","38,86",Grèce
3,3,4,Larissa,"51,56","9,51","31,46","39,24","48,20","46,55",Grèce
0,0,1,Budapest,"45,18","14,52","30,53","40,10","37,19","55,83",Hongrie
1,1,2,Szeged,"39,40","8,61","24,68","36,64","31,33","52,07",Hongrie
2,2,3,Debrecen,"35,30","9,56","23,00","30,89","29,40","54,13",Hongrie
0,0,1,Gurgaon,"27,21","7,78","17,92","27,14","22,19","80,31",Inde
1,1,2,Noida,"26,23","4,95","16,06","25,04","23,18","76,44",Inde
2,2,3,Bombay,"25,67","16,88","21,47","25,08","22,74","46,95",Inde
3,3,4,Bangalore,"25,38","7,77","16,96","25,79","20,03","98,57",Inde
4,4,5,Hyderabad,"24,90","5,73","15,74","26,41","17,62","57,31",Inde
5,5,6,Delhi,"24,77","7,35","16,44","22,72","23,54","61,28",Inde
6,6,7,Navi Mumbai,"24,70","10,59","17,96","25,57","19,01","85,24",Inde
7,7,8,Ahmedabad,"23,91","11,41","17,94","24,68","17,48","39,62",Inde
8,8,9,Pune,"23,80","6,60","15,58","24,16","19,53","84,99",Inde
9,9,10,Patna,"23,63","4,72","14,59","24,58","16,46","38,44",Inde
10,10,11,Guwahati,"23,57","3,82","14,13","23,61","19,13","58,25",Inde
11,11,12,Chandigarh,"23,56","5,30","14,83","21,85","19,52","71,67",Inde
12,12,13,Chennai,"22,99","5,70","14,72","24,20","16,39","62,90",Inde
13,13,14,Lucknow (Lakhnau),"22,27","4,11","13,59","21,04","16,13","70,23",Inde
14,14,15,Bhubaneswar,"22,12","4,16","13,53","22,92","14,20","73,24",Inde
15,15,16,Vadodara,"22,05","3,08","12,98","21,49","18,71","45,71",Inde
16,16,17,Calcutta,"22,01","5,09","13,92","22,85","15,79","65,38",Inde
17,17,18,Jaipur,"21,81","4,92","13,74","21,76","14,77","54,56",Inde
18,18,19,Indore,"21,67","3,90","13,18","22,45","15,34","62,91",Inde
19,19,20,Kochi,"21,33","4,95","13,50","23,05","12,17","80,35",Inde
20,20,21,Coimbatore,"21,09","4,47","13,14","22,90","12,22","50,88",Inde
21,21,22,Thiruvananthapuram,"20,92","3,80","12,74","20,98","14,18","96,70",Inde
22,22,23,Bhopal,"20,66","2,57","12,01","20,83","15,14","62,23",Inde
0,0,1,Jakarta,"34,64","14,76","25,14","36,30","20,47","33,58",Indonésie
1,1,2,Bandung,"30,91","6,08","19,04","31,74","14,59","25,67",Indonésie
2,2,3,Surabaya,"29,78","6,44","18,62","29,99","14,44","29,78",Indonésie
0,0,1,Shiraz,"56,78","21,29","39,82","62,48","32,54","14,21",Iran
1,1,2,Téhéran,"32,85","18,03","25,77","23,27","24,45","19,67",Iran
2,2,3,Isfahan (Esfahan),"31,90","12,57","22,66","18,30","16,11","19,15",Iran
3,3,4,Mashhad,"27,77","13,18","20,80","18,27","23,01","24,88",Iran
0,0,1,Dublin,"75,16","59,45","67,65","56,97","82,88","79,07",Irlande
1,1,2,Galway,"67,51","37,46","53,15","55,12","68,15","76,42",Irlande
2,2,3,Cork,"66,97","39,95","54,05","50,75","72,75","90,11",Irlande
3,3,4,Limerick,"63,90","34,32","49,76","51,66","68,12","102,85",Irlande
0,0,1,Netanya,"78,61","28,59","54,71","62,73","93,48","71,47",Israël
1,1,2,Ramat Gan,"78,60","35,44","57,97","68,22","87,59","76,11",Israël
2,2,3,Tel Aviv-Jaffa,"78,20","46,72","63,15","64,44","87,70","82,55",Israël
3,3,4,Petah Tikva,"74,00","26,50","51,29","62,51","77,68","77,82",Israël
4,4,5,Haïfa,"73,00","19,92","47,63","60,90","76,47","92,25",Israël
5,5,6,Jérusalem,"71,86","33,58","53,56","60,52","80,59","85,64",Israël
0,0,1,Milan,"71,72","38,81","55,99","58,16","79,82","56,61",Italie
1,1,2,Rome,"65,08","31,51","49,04","55,24","69,99","56,56",Italie
2,2,3,Florence,"65,06","24,99","45,91","57,80","64,16","55,74",Italie
3,3,4,Bologne,"64,52","24,01","45,16","52,10","67,80","65,45",Italie
4,4,5,Parme,"64,17","16,49","41,38","52,37","66,21","64,22",Italie
5,5,6,Genoa,"63,87","16,84","41,39","57,99","61,75","59,59",Italie
6,6,7,Bergame,"63,67","21,26","43,40","52,81","61,20","73,07",Italie
7,7,8,Trente,"63,67","21,37","43,45","55,30","62,36","67,80",Italie
8,8,9,Trieste,"63,30","17,57","41,44","52,66","65,18","65,38",Italie
9,9,10,Brescia,"62,64","22,86","43,63","54,16","61,71","60,23",Italie
10,10,11,Trévise,"62,08","22,19","43,02","50,15","65,19","63,06",Italie
11,11,12,Padoue,"61,37","19,47","41,35","48,48","60,91","64,04",Italie
12,12,13,Cagliari,"61,11","16,74","39,90","51,58","60,63","63,73",Italie
13,13,14,Bari,"60,39","19,08","40,64","50,28","54,94","65,20",Italie
14,14,15,Turin,"59,89","18,29","40,01","52,36","58,38","69,05",Italie
15,15,16,Vérone,"59,88","21,56","41,57","51,27","58,56","66,12",Italie
16,16,17,Naples,"56,08","17,50","37,64","44,71","56,56","68,35",Italie
17,17,18,Palerme,"54,71","13,47","35,00","44,35","48,26","64,74",Italie
18,18,19,Catane,"51,63","13,25","33,28","40,90","49,80","56,82",Italie
0,0,1,Tokyo,"70,56","32,60","52,42","76,18","41,19","91,42",Japon
1,1,2,Nagoya,"64,55","45,00","55,21","67,39","36,25","75,40",Japon
2,2,3,Osaka,"62,88","21,81","43,25","62,30","39,79","91,15",Japon
0,0,1,Innsbruck,"67,94","27,18","48,46","55,30","69,51","73,63",L'Autriche
1,1,2,Graz,"66,48","20,12","44,32","61,12","56,65","94,83",L'Autriche
2,2,3,Salzbourg,"65,46","26,42","46,80","55,34","65,69","95,83",L'Autriche
3,3,4,Linz,"65,07","22,00","44,48","56,63","63,67","88,28",L'Autriche
4,4,5,Vienne,"60,32","25,96","43,90","52,11","65,41","115,87",L'Autriche
0,0,1,Anvers,"67,36","23,40","46,35","51,92","77,34","91,01",La Belgique
1,1,2,Bruxelles,"67,17","29,20","49,02","55,87","69,47","98,89",La Belgique
2,2,3,Louvain,"65,38","23,58","45,40","52,59","70,70","96,10",La Belgique
3,3,4,Gand,"64,59","24,26","45,31","52,05","71,80","82,14",La Belgique
0,0,1,Vilnius,"50,24","20,31","35,94","39,87","51,37","60,79",Lituanie
1,1,2,Kaunas,"47,13","13,18","30,90","37,85","45,38","63,31",Lituanie
2,2,3,Klaipeda,"44,12","11,22","28,40","35,04","39,66","65,60",Lituanie
0,0,1,Kuching,"39,39","11,08","25,86","40,99","20,73","29,04",Malaisie
1,1,2,Kuala Lumpur,"37,98","12,83","25,96","38,56","24,48","85,00",Malaisie
2,2,3,Penang,"36,34","8,94","23,25","39,41","19,38","65,93",Malaisie
3,3,4,Petaling Jaya,"35,33","11,03","23,72","35,77","25,59","65,65",Malaisie
0,0,1,Marrakech,"33,04","9,16","21,63","25,29","29,29","27,58",Maroc
1,1,2,Casablanca,"32,73","11,26","22,47","26,80","22,84","35,53",Maroc
2,2,3,Rabat,"31,91","12,16","22,47","27,44","23,56","32,87",Maroc
3,3,4,Tanger,"28,81","8,42","19,06","26,57","19,85","36,57",Maroc
4,4,5,Ajdir (Al Hoceïma),"28,73","4,94","17,36","24,55","26,36","33,94",Maroc
0,0,1,Monterrey,"42,13","17,17","30,20","38,86","42,41","56,46",Mexique
1,1,2,Tijuana,"41,18","17,08","29,66","32,58","44,98","46,53",Mexique
2,2,3,Mexico,"40,79","20,75","31,21","38,85","38,68","37,24",Mexique
3,3,4,Cancun,"39,51","15,09","27,84","37,32","40,32","40,37",Mexique
4,4,5,Puebla,"39,40","9,93","25,31","39,00","33,27","35,96",Mexique
5,5,6,Merida,"38,62","12,63","26,20","39,46","36,53","35,01",Mexique
6,6,7,Querétaro (Santiago de Querétaro),"37,55","12,12","25,40","36,90","35,00","55,34",Mexique
7,7,8,Guadalajara,"37,36","15,28","26,81","37,72","33,96","49,99",Mexique
8,8,9,Puerto Vallarta,"36,94","21,84","29,72","33,94","33,95","25,49",Mexique
0,0,1,Oslo,"88,91","37,13","64,17","80,35","94,60","97,82",Norvège
1,1,2,Stavanger,"86,53","29,06","59,06","78,37","90,05","91,15",Norvège
2,2,3,Bergen,"85,74","29,57","58,90","81,49","83,26","87,54",Norvège
3,3,4,Trondheim,"82,65","29,59","57,29","74,72","90,12","115,39",Norvège
4,4,5,Tromso (Tromsø),"82,22","29,89","57,21","75,32","93,25","101,69",Norvège
0,0,1,Auckland,"75,94","39,16","58,36","71,52","70,78","99,04",Nouvelle-Zélande
1,1,2,Wellington,"75,85","44,85","61,03","74,60","66,17","75,90",Nouvelle-Zélande
2,2,3,Hamilton,"66,55","25,63","46,99","62,80","68,31","86,41",Nouvelle-Zélande
